x1 coord, x2coord, x3coord, x4coord, n1, n2, n3, attrib1, attrib2
0, 26.46786919091808, 0, 10.58714767636723, 0, 0, 0, 2, 10
76.70521852099095, 0, 50, 9.317912591603619, 0, 0, 0, 2, 7
56.91835601552641, 0, 50, 14.26462821796975, 0, 0, 0, 2, 7
43.07753544365897, 0, 0, 14.78795859420304, 0, 0, 0, 2, 0
25.00221842968347, 0, 50, 10.00088737187339, 0, 0, 0, 2, 7
100, 60.59417122373183, 50, 13.49025795551409, 0, 0, 0, 2, 5
100, 0, 26.32838430720955, 9.468646277116182, 0, 0, 0, 2, 4
0, 37.31616004041758, 0, 12.52652728441178, 0, 0, 0, 2, 10
26.79049822192196, 0, 0, 10.71619928876879, 0, 0, 0, 2, 0
72.32131595819969, 100, 50, 11.07147361672012, 0, 0, 0, 2, 3
29.89774434787466, 100, 0, 11.95909773914986, 0, 0, 0, 2, 8
0, 44.69188896887314, 50, 12.85431638473823, 0, 0, 0, 2, 2
0, 67.3820541660467, 0, 11.21982717413313, 0, 0, 0, 2, 10
64.9542181603974, 100, 0, 11.78518411807781, 0, 0, 0, 2, 8
100, 100, 26.80883563210477, 9.276465747158094, 0, 0, 0, 2, 9
73.33148683092391, 0, 0, 10.66740526763044, 0, 0, 0, 2, 0
0, 23.3159971959947, 50, 9.32639887839788, 0, 0, 0, 2, 2
43.82522139960903, 100, 50, 12.61277058485485, 0, 0, 0, 2, 3
43.29452328558604, 100, 0, 15.30829247357771, 0, 0, 0, 2, 8
0, 100, 28.2032318049546, 8.718707278018162, 0, 0, 0, 2, 11
0, 77.88891017144455, 50, 8.844435931422181, 0, 0, 0, 2, 2
100, 27.83009417243941, 0, 11.13203766897577, 0, 0, 0, 2, 1
100, 75.74132825701972, 50, 9.703468697192115, 0, 0, 0, 2, 5
34.93449643721958, 0, 50, 11.46880676263435, 0, 0, 0, 2, 7
0, 67.38914876230282, 50, 11.46937628370761, 0, 0, 0, 2, 2
100, 55.33442405510596, 0, 15.48208682922691, 0, 0, 0, 2, 1
62.15142021297518, 100, 50, 11.7431840922716, 0, 0, 0, 2, 3
100, 71.22871437997732, 0, 11.50851424800907, 0, 0, 0, 2, 1
100, 41.29157097462305, 50, 14.24457594979397, 0, 0, 0, 2, 5
100, 38.21920365355739, 0, 11.99631031112791, 0, 0, 0, 2, 1
0, 0, 20.85810336371394, 8.343241345485575, 0, 0, 0, 2, 6
0, 51.71358847748835, 0, 15.13694359627272, 0, 0, 0, 2, 10
100, 26.14455470758807, 50, 10.45782188303523, 0, 0, 0, 2, 5
20.74867383578028, 100, 50, 8.299469534312115, 0, 0, 0, 2, 3
62.61801955598016, 0, 0, 12.37084643028604, 0, 0, 0, 2, 0
79.84174227881891, 100, 0, 8.063303088472436, 0, 0, 0, 2, 8
0, 0, 28.68122782261187, 8.527508870955254, 0, 0, 0, 2, 6
28.31320309554823, 100, 50, 8.734766008839648, 0, 0, 0, 2, 3
0, 100, 20.06529529953691, 8.026118119814765, 0, 0, 0, 2, 11
0, 79.56439522903464, 0, 8.174241908386142, 0, 0, 0, 2, 10
0, 31.61746616049118, 50, 9.585710682642741, 0, 0, 0, 2, 2
0, 57.42731992004716, 50, 11.50292912739457, 0, 0, 0, 2, 2
